資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260402,0052  ,13,33,23008300,0.91
20260402,0052  ,14,13,12045147,0.47
20260402,0052  ,15,66,361398166,14.32
20260402,0052  ,16,1,1000,0.00
20260402,0052  ,17,452844,2522000000,100.00
20260402,0053  ,1,2031,191999,3.84
20260402,0053  ,2,758,1459752,29.26
20260402,0053  ,3,73,597216,11.97
20260402,0053  ,4,10,131000,2.62
20260402,0053  ,5,15,286000,5.73
20260402,0053  ,6,4,107000,2.14
20260402,0053  ,7,3,103000,2.06
20260402,0053  ,8,4,184000,3.68
20260402,0053  ,9,4,275391,5.52
20260402,0053  ,10,0,0,0.00
20260402,0053  ,11,2,551642,11.05
20260402,0053  ,12,0,0,0.00
20260402,0053  ,13,0,0,0.00
20260402,0053  ,14,0,0,0.00
20260402,0053  ,15,1,1101000,22.07
20260402,0053  ,16,0,0,0.00
20260402,0053  ,17,2905,4988000,100.00
20260402,0055  ,1,3235,913710,1.13
20260402,0055  ,2,6156,12829192,16.00
20260402,0055  ,3,1033,8135691,10.15
20260402,0055  ,4,271,3439127,4.29
20260402,0055  ,5,193,3516519,4.38
20260402,0055  ,6,122,3149333,3.92
20260402,0055  ,7,49,1735037,2.16
20260402,0055  ,8,31,1453612,1.81
20260402,0055  ,9,48,3313925,4.13
20260402,0055  ,10,21,2703328,3.37
20260402,0055  ,11,11,3240516,4.04
20260402,0055  ,12,9,4093098,5.10
20260402,0055  ,13,2,1427000,1.78
20260402,0055  ,14,1,999842,1.24
20260402,0055  ,15,3,29204070,36.43
20260402,0055  ,16,0,0,0.00
20260402,0055  ,17,11185,80154000,100.00
20260402,0056  ,1,303253,93911862,0.66
20260402,0056  ,2,749848,1767120543,12.53
20260402,0056  ,3,219251,1695718266,12.02
20260402,0056  ,4,93972,1190069219,8.43
20260402,0056  ,5,56029,1015637738,7.20
20260402,0056  ,6,54571,1376586037,9.76
20260402,0056  ,7,25865,915448642,6.49
20260402,0056  ,8,15770,728577442,5.16
20260402,0056  ,9,25960,1824743819,12.93
20260402,0056  ,10,8294,1123128968,7.96
20260402,0056  ,11,2111,572366822,4.05
20260402,0056  ,12,396,193944663,1.37
20260402,0056  ,13,116,80840006,0.57
20260402,0056  ,14,58,53341062,0.37
20260402,0056  ,15,146,1471609911,10.43
20260402,0056  ,16,1,11000,0.00
20260402,0056  ,17,1555640,14103034000,100.00
20260402,0057  ,1,637,54554,3.57
20260402,0057  ,2,120,227806,14.91
20260402,0057  ,3,10,74940,4.90
20260402,0057  ,4,7,85100,5.57
20260402,0057  ,5,0,0,0.00
20260402,0057  ,6,4,99600,6.52
20260402,0057  ,7,1,32000,2.09
20260402,0057  ,8,0,0,0.00
20260402,0057  ,9,1,53000,3.47
20260402,0057  ,10,4,541000,35.42
20260402,0057  ,11,1,359000,23.51
20260402,0057  ,12,0,0,0.00
20260402,0057  ,13,0,0,0.00
20260402,0057  ,14,0,0,0.00
20260402,0057  ,15,0,0,0.00
20260402,0057  ,16,0,0,0.00
20260402,0057  ,17,785,1527000,100.00
20260402,0061  ,1,737,190480,0.17
20260402,0061  ,2,3888,9200674,8.39
20260402,0061  ,3,962,8028687,7.32
20260402,0061  ,4,351,4616384,4.21
20260402,0061  ,5,271,5107327,4.65
20260402,0061  ,6,256,6603814,6.02
20260402,0061  ,7,130,4765466,4.34
20260402,0061  ,8,91,4277464,3.90
20260402,0061  ,9,162,12299478,11.22
20260402,0061  ,10,67,9039000,8.24
20260402,0061  ,11,41,11835187,10.79
20260402,0061  ,12,8,4236000,3.86
20260402,0061  ,13,8,5452000,4.97
20260402,0061  ,14,0,0,0.00
20260402,0061  ,15,5,23964039,21.86
20260402,0061  ,16,0,0,0.00
20260402,0061  ,17,6977,109616000,100.00
20260402,006201,1,678,130532,0.77
20260402,006201,2,1172,2466264,14.55
20260402,006201,3,189,1498424,8.84
20260402,006201,4,59,749004,4.41
20260402,006201,5,36,683000,4.03
20260402,006201,6,24,649675,3.83
20260402,006201,7,12,411728,2.42
20260402,006201,8,5,239264,1.41
20260402,006201,9,9,618000,3.64
20260402,006201,10,1,169000,0.99
20260402,006201,11,1,364496,2.15
20260402,006201,12,2,842913,4.97
20260402,006201,13,1,601000,3.54
20260402,006201,14,1,876700,5.17
20260402,006201,15,2,6646000,39.21
20260402,006201,16,0,0,0.00
20260402,006201,17,2192,16946000,100.00
20260402,006203,1,758,116860,1.14
20260402,006203,2,358,607013,5.94
20260402,006203,3,29,214395,2.09
20260402,006203,4,6,84522,0.82
20260402,006203,5,8,136332,1.33
20260402,006203,6,4,100000,0.97
20260402,006203,7,0,0,0.00
20260402,006203,8,1,42000,0.41
20260402,006203,9,2,154000,1.50
20260402,006203,10,2,275000,2.69
20260402,006203,11,3,855878,8.37
20260402,006203,12,1,500000,4.89
20260402,006203,13,0,0,0.00
20260402,006203,14,1,1000000,9.78
20260402,006203,15,2,6132000,60.01
20260402,006203,16,0,0,0.00
20260402,006203,17,1175,10218000,100.00
20260402,006204,1,846,118523,7.90
20260402,006204,2,297,511019,34.06
20260402,006204,3,13,93283,6.21
20260402,006204,4,2,28488,1.89
20260402,006204,5,3,55196,3.67
20260402,006204,6,3,77381,5.15
20260402,006204,7,0,0,0.00
20260402,006204,8,1,44000,2.93
20260402,006204,9,1,70000,4.66
20260402,006204,10,2,271000,18.06
20260402,006204,11,1,231110,15.40
20260402,006204,12,0,0,0.00
20260402,006204,13,0,0,0.00
20260402,006204,14,0,0,0.00
20260402,006204,15,0,0,0.00
20260402,006204,16,0,0,0.00
20260402,006204,17,1169,1500000,100.00
20260402,006205,1,3311,1030349,0.96
20260402,006205,2,4352,9821183,9.22
20260402,006205,3,1066,8167415,7.67
20260402,006205,4,366,4641429,4.36
20260402,006205,5,249,4578563,4.30
20260402,006205,6,199,4985598,4.68
20260402,006205,7,104,3704141,3.48
20260402,006205,8,42,1968509,1.84
20260402,006205,9,119,8505909,7.99
20260402,006205,10,54,7682337,7.21
20260402,006205,11,14,3893564,3.65
20260402,006205,12,13,6594457,6.19
20260402,006205,13,7,4978000,4.67
20260402,006205,14,2,1767000,1.66
20260402,006205,15,8,34120546,32.05
20260402,006205,16,0,0,0.00
20260402,006205,17,9906,106439000,100.00
20260402,006206,1,856,221478,0.70
20260402,006206,2,1779,4009749,12.81
20260402,006206,3,460,3681974,11.77
20260402,006206,4,156,1987448,6.35
20260402,006206,5,114,2121038,6.78
20260402,006206,6,95,2461933,7.87
20260402,006206,7,54,1977982,6.32
20260402,006206,8,36,1736331,5.55
20260402,006206,9,41,3062191,9.79
20260402,006206,10,15,1997578,6.38
20260402,006206,11,7,2032120,6.49
20260402,006206,12,1,597000,1.90
20260402,006206,13,3,2300178,7.35
20260402,006206,14,0,0,0.00
20260402,006206,15,1,3091000,9.88
20260402,006206,16,0,0,0.00
20260402,006206,17,3618,31278000,100.00
20260402,006207,1,264,63377,0.26
20260402,006207,2,874,2046829,8.56
20260402,006207,3,213,1741739,7.29
20260402,006207,4,75,946082,3.95
20260402,006207,5,68,1271180,5.32
20260402,006207,6,57,1524418,6.38
20260402,006207,7,20,710000,2.97
20260402,006207,8,18,842010,3.52
20260402,006207,9,44,3219826,13.47
20260402,006207,10,19,2852000,11.93
20260402,006207,11,14,4228000,17.69
20260402,006207,12,4,2113876,8.84
20260402,006207,13,1,660000,2.76
20260402,006207,14,0,0,0.00
20260402,006207,15,1,1672663,7.00
20260402,006207,16,0,0,0.00
20260402,006207,17,1672,23892000,100.00
20260402,006208,1,358531,108652924,5.81
20260402,006208,2,251823,539241945,28.85
20260402,006208,3,43548,312166758,16.70
20260402,006208,4,14060,173124796,9.26
20260402,006208,5,6609,116212718,6.21
20260402,006208,6,5418,132265697,7.07
20260402,006208,7,2157,74835422,4.00
20260402,006208,8,1012,45556470,2.43
20260402,006208,9,1421,95064770,5.08
20260402,006208,10,326,42774896,2.28
20260402,006208,11,62,16894607,0.90
20260402,006208,12,15,6883854,0.36
20260402,006208,13,7,4813720,0.25
20260402,006208,14,4,3637009,0.19
20260402,006208,15,39,196419414,10.51
20260402,006208,16,1,5000,0.00
20260402,006208,17,685032,1868540000,100.00
20260402,00625K,1,0,0,0.00
20260402,00625K,2,5,17000,5.10
20260402,00625K,3,1,10000,3.00
20260402,00625K,4,1,12000,3.60
20260402,00625K,5,1,16000,4.80
20260402,00625K,6,1,23000,6.90
20260402,00625K,7,1,35000,10.51
20260402,00625K,8,0,0,0.00
20260402,00625K,9,2,106000,31.83
20260402,00625K,10,1,114000,34.23
20260402,00625K,11,0,0,0.00
20260402,00625K,12,0,0,0.00
20260402,00625K,13,0,0,0.00
20260402,00625K,14,0,0,0.00
20260402,00625K,15,0,0,0.00
20260402,00625K,16,0,0,0.00
20260402,00625K,17,13,333000,100.00
20260402,00631L,1,17496,6562207,0.17
20260402,00631L,2,49049,115393954,3.04
20260402,00631L,3,13605,103200656,2.72
20260402,00631L,4,6084,74895173,1.97
20260402,00631L,5,3536,62652638,1.65
20260402,00631L,6,10090,237720794,6.27
20260402,00631L,7,2496,86392551,2.28
20260402,00631L,8,4160,187199737,4.94
20260402,00631L,9,5642,409005001,10.79
20260402,00631L,10,3555,497839033,13.14
20260402,00631L,11,1675,463203584,12.23
20260402,00631L,12,445,215647920,5.69
20260402,00631L,13,205,142209168,3.75
20260402,00631L,14,97,86848738,2.29
20260402,00631L,15,247,1098734360,29.01
20260402,00631L,16,4,157514,0.00
20260402,00631L,17,118382,3787348000,100.00
20260402,00632R,1,11464,4400813,0.22
20260402,00632R,2,20195,50290511,2.61
20260402,00632R,3,7801,61556448,3.20
20260402,00632R,4,3789,49010193,2.55
20260402,00632R,5,2867,52727293,2.74
20260402,00632R,6,3359,86300957,4.49
20260402,00632R,7,1807,64731926,3.36
20260402,00632R,8,1552,71849996,3.73
20260402,00632R,9,3279,239410707,12.46
20260402,00632R,10,1797,256719740,13.36
20260402,00632R,11,840,232671380,12.11
20260402,00632R,12,259,126825573,6.60
20260402,00632R,13,126,87341700,4.54
20260402,00632R,14,73,66399125,3.45
20260402,00632R,15,157,479502083,24.95
20260402,00632R,16,1,8530715,0.44
20260402,00632R,17,59365,1921207730,100.00
20260402,00633L,1,262,49361,0.02
20260402,00633L,2,1879,4667669,2.77
20260402,00633L,3,713,5845619,3.47
20260402,00633L,4,321,4202898,2.49
20260402,00633L,5,278,5172999,3.07
20260402,00633L,6,296,7746857,4.59
20260402,00633L,7,149,5319131,3.15
20260402,00633L,8,130,6099363,3.62
20260402,00633L,9,289,21446858,12.73
20260402,00633L,10,150,21153000,12.55
20260402,00633L,11,70,20109000,11.93
20260402,00633L,12,20,9338412,5.54
20260402,00633L,13,15,10459000,6.20
20260402,00633L,14,5,4421000,2.62
20260402,00633L,15,21,42426833,25.18
20260402,00633L,16,0,0,0.00
20260402,00633L,17,4598,168458000,100.00
20260402,00634R,1,51,4671,0.00
20260402,00634R,2,320,789892,1.67
20260402,00634R,3,124,1062738,2.24
20260402,00634R,4,52,685400,1.45
20260402,00634R,5,44,829678,1.75
20260402,00634R,6,55,1459801,3.08
20260402,00634R,7,32,1137000,2.40
20260402,00634R,8,30,1412800,2.98
20260402,00634R,9,58,4231000,8.95
20260402,00634R,10,31,4675597,9.89
20260402,00634R,11,20,5801000,12.27
20260402,00634R,12,3,1692000,3.58
20260402,00634R,13,4,2779000,5.88
20260402,00634R,14,2,1829000,3.87
20260402,00634R,15,7,18866423,39.92
20260402,00634R,16,0,0,0.00
20260402,00634R,17,833,47256000,100.00
20260402,00635U,1,24763,5986092,1.76
20260402,00635U,2,33506,68198192,20.14
20260402,00635U,3,4720,36863874,10.88
20260402,00635U,4,1440,18491983,5.46
20260402,00635U,5,954,17717986,5.23
20260402,00635U,6,759,19255363,5.68
20260402,00635U,7,373,13412193,3.96
20260402,00635U,8,179,8369788,2.47
20260402,00635U,9,351,25318297,7.47
20260402,00635U,10,126,17246801,5.09
20260402,00635U,11,51,13890138,4.10
20260402,00635U,12,11,5424000,1.60
20260402,00635U,13,4,2948000,0.87
20260402,00635U,14,0,0,0.00
20260402,00635U,15,19,85391293,25.22
20260402,00635U,16,0,0,0.00
20260402,00635U,17,67256,338514000,100.00
20260402,00636 ,1,1548,448935,0.38
20260402,00636 ,2,4891,11538780,9.79
20260402,00636 ,3,1260,10200893,8.65
20260402,00636 ,4,512,6560159,5.56
20260402,00636 ,5,341,6357547,5.39
20260402,00636 ,6,326,8418195,7.14
20260402,00636 ,7,148,5381523,4.56
20260402,00636 ,8,101,4759094,4.03
20260402,00636 ,9,181,13221244,11.22
20260402,00636 ,10,96,13507070,11.46
20260402,00636 ,11,22,6089039,5.16
20260402,00636 ,12,13,6462335,5.48
20260402,00636 ,13,6,4104000,3.48
20260402,00636 ,14,2,1831000,1.55
20260402,00636 ,15,8,18945186,16.07
20260402,00636 ,16,0,0,0.00
20260402,00636 ,17,9455,117825000,100.00
20260402,00636K,1,3,1400,2.25
20260402,00636K,2,4,10500,16.90
20260402,00636K,3,1,5700,9.17
20260402,00636K,4,0,0,0.00
20260402,00636K,5,0,0,0.00
20260402,00636K,6,0,0,0.00
20260402,00636K,7,0,0,0.00
20260402,00636K,8,1,44500,71.65
20260402,00636K,9,0,0,0.00
20260402,00636K,10,0,0,0.00
20260402,00636K,11,0,0,0.00
20260402,00636K,12,0,0,0.00
20260402,00636K,13,0,0,0.00
20260402,00636K,14,0,0,0.00
20260402,00636K,15,0,0,0.00
20260402,00636K,16,0,0,0.00
20260402,00636K,17,9,62100,100.00
20260402,00637L,1,702,123847,0.01
20260402,00637L,2,5650,14904289,1.45
20260402,00637L,3,2466,20689179,2.01
20260402,00637L,4,1108,14622234,1.42
20260402,00637L,5,1034,19405223,1.89
20260402,00637L,6,1067,28017524,2.72
20260402,00637L,7,674,24438661,2.38
20260402,00637L,8,502,23495423,2.28
20260402,00637L,9,1152,85388743,8.31
20260402,00637L,10,713,103045557,10.03
20260402,00637L,11,392,111710036,10.88
20260402,00637L,12,140,69051000,6.72
20260402,00637L,13,65,45003000,4.38
20260402,00637L,14,40,36578000,3.56
20260402,00637L,15,124,430133284,41.89
20260402,00637L,16,0,0,0.00
20260402,00637L,17,15829,1026606000,100.00
20260402,00638R,1,63,7129,0.02
20260402,00638R,2,219,564227,2.09
20260402,00638R,3,89,761294,2.82
20260402,00638R,4,37,495066,1.83
20260402,00638R,5,38,723864,2.68
20260402,00638R,6,31,801500,2.97
20260402,00638R,7,21,770000,2.85
20260402,00638R,8,13,605000,2.24
20260402,00638R,9,26,1829000,6.78
20260402,00638R,10,23,3480000,12.91
20260402,00638R,11,8,2097000,7.78
20260402,00638R,12,7,3308648,12.27
20260402,00638R,13,0,0,0.00
20260402,00638R,14,2,1974597,7.32
20260402,00638R,15,2,9530675,35.36
20260402,00638R,16,0,0,0.00
20260402,00638R,17,579,26948000,100.00
20260402,00639 ,1,1149,385559,0.31
20260402,00639 ,2,2799,6859689,5.58
20260402,00639 ,3,1028,8296931,6.75
20260402,00639 ,4,360,4639068,3.77
20260402,00639 ,5,362,6671818,5.42
20260402,00639 ,6,313,8134152,6.61
20260402,00639 ,7,153,5502249,4.47
20260402,00639 ,8,105,4884091,3.97
20260402,00639 ,9,212,15651676,12.73
20260402,00639 ,10,108,15217430,12.38
20260402,00639 ,11,33,9694136,7.88
20260402,00639 ,12,9,4439000,3.61
20260402,00639 ,13,5,3465000,2.81
20260402,00639 ,14,5,4448000,3.61
20260402,00639 ,15,12,24614201,20.02
20260402,00639 ,16,0,0,0.00
20260402,00639 ,17,6653,122903000,100.00
20260402,00640L,1,856,188663,1.40
20260402,00640L,2,921,1967141,14.65
20260402,00640L,3,175,1320202,9.83
20260402,00640L,4,66,859932,6.40
20260402,00640L,5,41,747966,5.57
20260402,00640L,6,35,883818,6.58
20260402,00640L,7,10,356672,2.65
20260402,00640L,8,8,366000,2.72
20260402,00640L,9,21,1390505,10.36
20260402,00640L,10,8,1101000,8.20
20260402,00640L,11,2,700000,5.21
20260402,00640L,12,1,465000,3.46
20260402,00640L,13,1,673000,5.01
20260402,00640L,14,0,0,0.00
20260402,00640L,15,2,2399101,17.87
20260402,00640L,16,0,0,0.00
20260402,00640L,17,2147,13419000,100.00
20260402,00641R,1,81,15982,0.02
20260402,00641R,2,477,1279864,1.63
20260402,00641R,3,202,1717721,2.19
20260402,00641R,4,98,1278067,1.63
20260402,00641R,5,104,1961938,2.50
20260402,00641R,6,102,2673075,3.41
20260402,00641R,7,52,1903125,2.43
20260402,00641R,8,47,2216661,2.83
20260402,00641R,9,123,9220630,11.78
20260402,00641R,10,60,8552000,10.92
20260402,00641R,11,28,7573000,9.67
20260402,00641R,12,11,5748000,7.34
20260402,00641R,13,3,2127000,2.71
20260402,00641R,14,5,4564000,5.83
20260402,00641R,15,11,27426937,35.04
20260402,00641R,16,0,0,0.00
20260402,00641R,17,1404,78258000,100.00
20260402,00642U,1,4114,832022,0.31
20260402,00642U,2,14641,30688788,11.65
20260402,00642U,3,2330,19577151,7.43
20260402,00642U,4,698,9241662,3.50
20260402,00642U,5,624,11937420,4.53
20260402,00642U,6,447,11874833,4.50
20260402,00642U,7,250,9336156,3.54
20260402,00642U,8,164,7761800,2.94
20260402,00642U,9,242,17996912,6.83
20260402,00642U,10,95,13172250,5.00
20260402,00642U,11,52,15172000,5.76
20260402,00642U,12,11,5578000,2.11
20260402,00642U,13,3,1960000,0.74
20260402,00642U,14,1,889000,0.33
20260402,00642U,15,14,107656006,40.88
20260402,00642U,16,1,353000,0.13
20260402,00642U,17,23686,263321000,100.00
20260402,00643 ,1,345,86413,0.09
20260402,00643 ,2,1855,4874293,5.35
20260402,00643 ,3,620,5281511,5.79
20260402,00643 ,4,234,3096725,3.40
20260402,00643 ,5,162,3073933,3.37
20260402,00643 ,6,182,4718145,5.18
20260402,00643 ,7,85,3133161,3.44
20260402,00643 ,8,84,4001880,4.39
20260402,00643 ,9,121,9127344,10.02
20260402,00643 ,10,68,10246436,11.25
20260402,00643 ,11,21,6198556,6.80
20260402,00643 ,12,8,3995000,4.38
20260402,00643 ,13,6,4107000,4.50
20260402,00643 ,14,3,2791000,3.06
20260402,00643 ,15,7,26341603,28.92
20260402,00643 ,16,0,0,0.00
20260402,00643 ,17,3801,91073000,100.00
20260402,00643K,1,0,0,0.00
20260402,00643K,2,2,5000,3.93
20260402,00643K,3,1,6000,4.72
20260402,00643K,4,0,0,0.00
20260402,00643K,5,0,0,0.00
20260402,00643K,6,0,0,0.00
20260402,00643K,7,1,38000,29.92
20260402,00643K,8,0,0,0.00
20260402,00643K,9,1,78000,61.41
20260402,00643K,10,0,0,0.00
20260402,00643K,11,0,0,0.00
20260402,00643K,12,0,0,0.00
20260402,00643K,13,0,0,0.00
20260402,00643K,14,0,0,0.00
20260402,00643K,15,0,0,0.00
20260402,00643K,16,0,0,0.00
20260402,00643K,17,5,127000,100.00
20260402,00645 ,1,4866,1367789,2.44
20260402,00645 ,2,5014,10578894,18.89
20260402,00645 ,3,857,6513610,11.63
20260402,00645 ,4,248,3110784,5.55
20260402,00645 ,5,128,2328216,4.15
20260402,00645 ,6,101,2560581,4.57
20260402,00645 ,7,40,1428058,2.55
20260402,00645 ,8,25,1168939,2.08
20260402,00645 ,9,29,2152637,3.84
20260402,00645 ,10,19,2965907,5.29
20260402,00645 ,11,8,2120000,3.78
20260402,00645 ,12,3,1425000,2.54
20260402,00645 ,13,2,1436000,2.56
20260402,00645 ,14,2,1932000,3.45
20260402,00645 ,15,5,14908585,26.62
20260402,00645 ,16,0,0,0.00
20260402,00645 ,17,11347,55997000,100.00
20260402,00646 ,1,48571,13773805,2.57
20260402,00646 ,2,37113,78930537,14.74
20260402,00646 ,3,6698,49272186,9.20
20260402,00646 ,4,2325,28931153,5.40
20260402,00646 ,5,1252,22298540,4.16
20260402,00646 ,6,1076,26679059,4.98
20260402,00646 ,7,526,18321297,3.42
20260402,00646 ,8,280,12755642,2.38
20260402,00646 ,9,492,34130170,6.37
20260402,00646 ,10,193,25642020,4.78
20260402,00646 ,11,47,13240561,2.47
20260402,00646 ,12,21,10515215,1.96
20260402,00646 ,13,11,7715146,1.44
20260402,00646 ,14,5,4490000,0.83
20260402,00646 ,15,27,188789669,35.25
20260402,00646 ,16,0,0,0.00
20260402,00646 ,17,98637,535485000,100.00
20260402,00647L,1,1417,265428,3.57
20260402,00647L,2,718,1500176,20.22
20260402,00647L,3,111,818946,11.04
20260402,00647L,4,37,473237,6.38
20260402,00647L,5,12,213349,2.87
20260402,00647L,6,17,427945,5.77
20260402,00647L,7,9,329983,4.44
20260402,00647L,8,2,95000,1.28
20260402,00647L,9,12,835000,11.25
20260402,00647L,10,3,481217,6.48
20260402,00647L,11,1,298000,4.01
20260402,00647L,12,0,0,0.00
20260402,00647L,13,1,765000,10.31
20260402,00647L,14,1,912719,12.30
20260402,00647L,15,0,0,0.00
20260402,00647L,16,0,0,0.00
20260402,00647L,17,2341,7416000,100.00
20260402,00648R,1,95,14095,0.00
20260402,00648R,2,867,2312404,1.57
20260402,00648R,3,371,3111102,2.12
20260402,00648R,4,160,2131832,1.45
20260402,00648R,5,188,3559138,2.42
20260402,00648R,6,194,5144000,3.50
20260402,00648R,7,125,4570568,3.11
20260402,00648R,8,89,4236000,2.88
20260402,00648R,9,222,16393208,11.17
20260402,00648R,10,129,18499273,12.61
20260402,00648R,11,58,16388000,11.17
20260402,00648R,12,12,5956000,4.06
20260402,00648R,13,9,6341000,4.32
20260402,00648R,14,5,4828000,3.29
20260402,00648R,15,15,53203380,36.26
20260402,00648R,16,0,0,0.00
20260402,00648R,17,2539,146688000,100.00
20260402,00650L,1,258,46694,0.03
20260402,00650L,2,988,2562800,2.04
20260402,00650L,3,419,3492279,2.78
20260402,00650L,4,201,2657496,2.12
20260402,00650L,5,175,3279631,2.61
20260402,00650L,6,191,4947274,3.94
20260402,00650L,7,111,4041820,3.22
20260402,00650L,8,78,3680300,2.93
20260402,00650L,9,197,14356333,11.45
20260402,00650L,10,82,11798000,9.41
20260402,00650L,11,60,16593539,13.23
20260402,00650L,12,17,8437354,6.73
20260402,00650L,13,6,4082000,3.25
20260402,00650L,14,5,4678000,3.73
20260402,00650L,15,16,40684480,32.45
