資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260320,000218,1,0,0,0.00
20260320,000218,2,0,0,0.00
20260320,000218,3,0,0,0.00
20260320,000218,4,0,0,0.00
20260320,000218,5,0,0,0.00
20260320,000218,6,0,0,0.00
20260320,000218,7,0,0,0.00
20260320,000218,8,0,0,0.00
20260320,000218,9,0,0,0.00
20260320,000218,10,0,0,0.00
20260320,000218,11,0,0,0.00
20260320,000218,12,0,0,0.00
20260320,000218,13,0,0,0.00
20260320,000218,14,0,0,0.00
20260320,000218,15,1,422278902,100.00
20260320,000218,16,0,0,0.00
20260320,000218,17,1,422278902,100.00
20260320,000560,1,0,0,0.00
20260320,000560,2,0,0,0.00
20260320,000560,3,0,0,0.00
20260320,000560,4,0,0,0.00
20260320,000560,5,0,0,0.00
20260320,000560,6,0,0,0.00
20260320,000560,7,0,0,0.00
20260320,000560,8,0,0,0.00
20260320,000560,9,0,0,0.00
20260320,000560,10,0,0,0.00
20260320,000560,11,0,0,0.00
20260320,000560,12,0,0,0.00
20260320,000560,13,0,0,0.00
20260320,000560,14,0,0,0.00
20260320,000560,15,1,29700000,100.00
20260320,000560,16,0,0,0.00
20260320,000560,17,1,29700000,100.00
20260320,000708,1,0,0,0.00
20260320,000708,2,0,0,0.00
20260320,000708,3,0,0,0.00
20260320,000708,4,0,0,0.00
20260320,000708,5,0,0,0.00
20260320,000708,6,0,0,0.00
20260320,000708,7,0,0,0.00
20260320,000708,8,0,0,0.00
20260320,000708,9,0,0,0.00
20260320,000708,10,0,0,0.00
20260320,000708,11,0,0,0.00
20260320,000708,12,0,0,0.00
20260320,000708,13,0,0,0.00
20260320,000708,14,0,0,0.00
20260320,000708,15,1,20200000,100.00
20260320,000708,16,0,0,0.00
20260320,000708,17,1,20200000,100.00
20260320,000779,1,0,0,0.00
20260320,000779,2,0,0,0.00
20260320,000779,3,0,0,0.00
20260320,000779,4,0,0,0.00
20260320,000779,5,0,0,0.00
20260320,000779,6,0,0,0.00
20260320,000779,7,0,0,0.00
20260320,000779,8,0,0,0.00
20260320,000779,9,0,0,0.00
20260320,000779,10,0,0,0.00
20260320,000779,11,0,0,0.00
20260320,000779,12,0,0,0.00
20260320,000779,13,0,0,0.00
20260320,000779,14,0,0,0.00
20260320,000779,15,1,1150000000,100.00
20260320,000779,16,0,0,0.00
20260320,000779,17,1,1150000000,100.00
20260320,000815,1,0,0,0.00
20260320,000815,2,0,0,0.00
20260320,000815,3,0,0,0.00
20260320,000815,4,0,0,0.00
20260320,000815,5,0,0,0.00
20260320,000815,6,0,0,0.00
20260320,000815,7,0,0,0.00
20260320,000815,8,0,0,0.00
20260320,000815,9,0,0,0.00
20260320,000815,10,0,0,0.00
20260320,000815,11,0,0,0.00
20260320,000815,12,0,0,0.00
20260320,000815,13,0,0,0.00
20260320,000815,14,0,0,0.00
20260320,000815,15,1,692412444,100.00
20260320,000815,16,0,0,0.00
20260320,000815,17,1,692412444,100.00
20260320,000856,1,0,0,0.00
20260320,000856,2,0,0,0.00
20260320,000856,3,0,0,0.00
20260320,000856,4,0,0,0.00
20260320,000856,5,0,0,0.00
20260320,000856,6,0,0,0.00
20260320,000856,7,0,0,0.00
20260320,000856,8,0,0,0.00
20260320,000856,9,0,0,0.00
20260320,000856,10,0,0,0.00
20260320,000856,11,0,0,0.00
20260320,000856,12,0,0,0.00
20260320,000856,13,0,0,0.00
20260320,000856,14,0,0,0.00
20260320,000856,15,1,231800000,100.00
20260320,000856,16,0,0,0.00
20260320,000856,17,1,231800000,100.00
20260320,0050  ,1,1050801,307669971,1.71
20260320,0050  ,2,1061802,2427246231,13.54
20260320,0050  ,3,262143,1938073455,10.81
20260320,0050  ,4,103886,1288341746,7.18
20260320,0050  ,5,59461,1053477534,5.87
20260320,0050  ,6,53142,1312271732,7.32
20260320,0050  ,7,25966,910672191,5.08
20260320,0050  ,8,14185,641950556,3.58
20260320,0050  ,9,23808,1639335191,9.14
20260320,0050  ,10,7606,1030689232,5.75
20260320,0050  ,11,2083,556630456,3.10
20260320,0050  ,12,379,182133022,1.01
20260320,0050  ,13,118,81711867,0.45
20260320,0050  ,14,61,54874035,0.30
20260320,0050  ,15,234,4497422781,25.09
20260320,0050  ,16,0,0,0.00
20260320,0050  ,17,2665675,17922500000,100.00
20260320,0051  ,1,6344,1361269,5.55
20260320,0051  ,2,4333,8543413,34.87
20260320,0051  ,3,468,3437751,14.03
20260320,0051  ,4,136,1676049,6.84
20260320,0051  ,5,76,1372693,5.60
20260320,0051  ,6,41,1050436,4.28
20260320,0051  ,7,16,547269,2.23
20260320,0051  ,8,11,502809,2.05
20260320,0051  ,9,15,925636,3.77
20260320,0051  ,10,5,622500,2.54
20260320,0051  ,11,3,771538,3.14
20260320,0051  ,12,1,563000,2.29
20260320,0051  ,13,3,2169680,8.85
20260320,0051  ,14,1,955957,3.90
20260320,0051  ,15,0,0,0.00
20260320,0051  ,16,0,0,0.00
20260320,0051  ,17,11453,24500000,100.00
20260320,0052  ,1,111620,29842774,1.21
20260320,0052  ,2,242884,517951105,21.01
20260320,0052  ,3,47960,374809636,15.20
20260320,0052  ,4,15446,198449292,8.05
20260320,0052  ,5,8323,152646748,6.19
20260320,0052  ,6,7743,195179278,7.91
20260320,0052  ,7,3038,108044868,4.38
20260320,0052  ,8,1883,87282419,3.54
20260320,0052  ,9,2837,201381317,8.16
20260320,0052  ,10,824,111899880,4.53
20260320,0052  ,11,241,65498613,2.65
20260320,0052  ,12,42,21008373,0.85
20260320,0052  ,13,32,22585000,0.91
20260320,0052  ,14,13,12029147,0.48
20260320,0052  ,15,71,366426550,14.86
20260320,0052  ,16,3,35000,0.00
20260320,0052  ,17,442957,2465000000,100.00
20260320,0053  ,1,2064,189608,3.80
20260320,0053  ,2,754,1455272,29.17
20260320,0053  ,3,73,595157,11.93
20260320,0053  ,4,10,132000,2.64
20260320,0053  ,5,15,286000,5.73
20260320,0053  ,6,4,107000,2.14
20260320,0053  ,7,3,102000,2.04
20260320,0053  ,8,4,182000,3.64
20260320,0053  ,9,3,217000,4.35
20260320,0053  ,10,1,126321,2.53
20260320,0053  ,11,2,547642,10.97
20260320,0053  ,12,0,0,0.00
20260320,0053  ,13,0,0,0.00
20260320,0053  ,14,0,0,0.00
20260320,0053  ,15,1,1048000,21.01
20260320,0053  ,16,0,0,0.00
20260320,0053  ,17,2934,4988000,100.00
20260320,0055  ,1,3227,906755,1.13
20260320,0055  ,2,6178,12897201,16.09
20260320,0055  ,3,1031,8114890,10.12
20260320,0055  ,4,275,3502949,4.37
20260320,0055  ,5,190,3468247,4.32
20260320,0055  ,6,124,3205617,3.99
20260320,0055  ,7,48,1705776,2.12
20260320,0055  ,8,30,1399003,1.74
20260320,0055  ,9,50,3464483,4.32
20260320,0055  ,10,21,2701192,3.37
20260320,0055  ,11,11,3229516,4.02
20260320,0055  ,12,9,4094588,5.10
20260320,0055  ,13,2,1427000,1.78
20260320,0055  ,14,1,998842,1.24
20260320,0055  ,15,3,29037941,36.22
20260320,0055  ,16,0,0,0.00
20260320,0055  ,17,11200,80154000,100.00
20260320,0056  ,1,297360,92282118,0.66
20260320,0056  ,2,740913,1746108078,12.67
20260320,0056  ,3,216086,1670673329,12.12
20260320,0056  ,4,92507,1171549701,8.50
20260320,0056  ,5,55150,999726046,7.25
20260320,0056  ,6,53596,1352797115,9.81
