資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260306,000218,1,0,0,0.00
20260306,000218,2,0,0,0.00
20260306,000218,3,0,0,0.00
20260306,000218,4,0,0,0.00
20260306,000218,5,0,0,0.00
20260306,000218,6,0,0,0.00
20260306,000218,7,0,0,0.00
20260306,000218,8,0,0,0.00
20260306,000218,9,0,0,0.00
20260306,000218,10,0,0,0.00
20260306,000218,11,0,0,0.00
20260306,000218,12,0,0,0.00
20260306,000218,13,0,0,0.00
20260306,000218,14,0,0,0.00
20260306,000218,15,1,422278902,100.00
20260306,000218,16,0,0,0.00
20260306,000218,17,1,422278902,100.00
20260306,000560,1,0,0,0.00
20260306,000560,2,0,0,0.00
20260306,000560,3,0,0,0.00
20260306,000560,4,0,0,0.00
20260306,000560,5,0,0,0.00
20260306,000560,6,0,0,0.00
20260306,000560,7,0,0,0.00
20260306,000560,8,0,0,0.00
20260306,000560,9,0,0,0.00
20260306,000560,10,0,0,0.00
20260306,000560,11,0,0,0.00
20260306,000560,12,0,0,0.00
20260306,000560,13,0,0,0.00
20260306,000560,14,0,0,0.00
20260306,000560,15,1,29700000,100.00
20260306,000560,16,0,0,0.00
20260306,000560,17,1,29700000,100.00
20260306,000708,1,0,0,0.00
20260306,000708,2,0,0,0.00
20260306,000708,3,0,0,0.00
20260306,000708,4,0,0,0.00
20260306,000708,5,0,0,0.00
20260306,000708,6,0,0,0.00
20260306,000708,7,0,0,0.00
20260306,000708,8,0,0,0.00
20260306,000708,9,0,0,0.00
20260306,000708,10,0,0,0.00
20260306,000708,11,0,0,0.00
20260306,000708,12,0,0,0.00
20260306,000708,13,0,0,0.00
20260306,000708,14,0,0,0.00
20260306,000708,15,1,20200000,100.00
20260306,000708,16,0,0,0.00
20260306,000708,17,1,20200000,100.00
20260306,000779,1,0,0,0.00
20260306,000779,2,0,0,0.00
20260306,000779,3,0,0,0.00
20260306,000779,4,0,0,0.00
20260306,000779,5,0,0,0.00
20260306,000779,6,0,0,0.00
20260306,000779,7,0,0,0.00
20260306,000779,8,0,0,0.00
20260306,000779,9,0,0,0.00
20260306,000779,10,0,0,0.00
20260306,000779,11,0,0,0.00
20260306,000779,12,0,0,0.00
20260306,000779,13,0,0,0.00
20260306,000779,14,0,0,0.00
20260306,000779,15,1,1150000000,100.00
20260306,000779,16,0,0,0.00
20260306,000779,17,1,1150000000,100.00
20260306,000815,1,0,0,0.00
20260306,000815,2,0,0,0.00
20260306,000815,3,0,0,0.00
20260306,000815,4,0,0,0.00
20260306,000815,5,0,0,0.00
20260306,000815,6,0,0,0.00
20260306,000815,7,0,0,0.00
20260306,000815,8,0,0,0.00
20260306,000815,9,0,0,0.00
20260306,000815,10,0,0,0.00
20260306,000815,11,0,0,0.00
20260306,000815,12,0,0,0.00
20260306,000815,13,0,0,0.00
20260306,000815,14,0,0,0.00
20260306,000815,15,1,692412444,100.00
20260306,000815,16,0,0,0.00
20260306,000815,17,1,692412444,100.00
20260306,000856,1,0,0,0.00
20260306,000856,2,0,0,0.00
20260306,000856,3,0,0,0.00
20260306,000856,4,0,0,0.00
20260306,000856,5,0,0,0.00
20260306,000856,6,0,0,0.00
20260306,000856,7,0,0,0.00
20260306,000856,8,0,0,0.00
20260306,000856,9,0,0,0.00
20260306,000856,10,0,0,0.00
20260306,000856,11,0,0,0.00
20260306,000856,12,0,0,0.00
20260306,000856,13,0,0,0.00
20260306,000856,14,0,0,0.00
20260306,000856,15,1,231800000,100.00
20260306,000856,16,0,0,0.00
20260306,000856,17,1,231800000,100.00
20260306,0050  ,1,973564,288321270,1.69
20260306,0050  ,2,994144,2279499389,13.41
20260306,0050  ,3,247045,1826563669,10.74
20260306,0050  ,4,98032,1215407357,7.15
20260306,0050  ,5,56795,1006099895,5.92
20260306,0050  ,6,50294,1241936517,7.30
20260306,0050  ,7,24788,869599640,5.11
20260306,0050  ,8,13523,612037251,3.60
20260306,0050  ,9,22640,1559442036,9.17
20260306,0050  ,10,7309,989051342,5.82
20260306,0050  ,11,1994,532755259,3.13
20260306,0050  ,12,367,176759526,1.04
20260306,0050  ,13,113,78284847,0.46
20260306,0050  ,14,56,50725718,0.29
20260306,0050  ,15,226,4267042284,25.10
20260306,0050  ,16,1,26000,0.00
20260306,0050  ,17,2490890,16993500000,100.00
20260306,0051  ,1,5838,1332325,5.55
20260306,0051  ,2,4333,8521243,35.50
20260306,0051  ,3,469,3441203,14.33
20260306,0051  ,4,133,1639931,6.83
20260306,0051  ,5,76,1377862,5.74
20260306,0051  ,6,43,1101348,4.58
20260306,0051  ,7,15,506993,2.11
20260306,0051  ,8,10,454809,1.89
20260306,0051  ,9,16,971636,4.04
20260306,0051  ,10,6,776961,3.23
20260306,0051  ,11,2,563953,2.34
20260306,0051  ,12,2,1140435,4.75
20260306,0051  ,13,3,2171301,9.04
20260306,0051  ,14,0,0,0.00
20260306,0051  ,15,0,0,0.00
20260306,0051  ,16,0,0,0.00
20260306,0051  ,17,10946,24000000,100.00
20260306,0052  ,1,102902,27371859,1.16
20260306,0052  ,2,230114,488261529,20.86
20260306,0052  ,3,45466,355896145,15.20
20260306,0052  ,4,14399,185414110,7.92
20260306,0052  ,5,7744,142272878,6.08
20260306,0052  ,6,7258,183097922,7.82
20260306,0052  ,7,2896,103110162,4.40
20260306,0052  ,8,1805,83802520,3.58
20260306,0052  ,9,2706,192117908,8.21
20260306,0052  ,10,776,106311047,4.54
20260306,0052  ,11,224,60150601,2.57
20260306,0052  ,12,41,20369004,0.87
20260306,0052  ,13,35,24368509,1.04
20260306,0052  ,14,18,16714147,0.71
20260306,0052  ,15,65,354201659,15.13
20260306,0052  ,16,4,3460000,0.14
20260306,0052  ,17,416449,2340000000,100.00
20260306,0053  ,1,2059,182466,3.65
20260306,0053  ,2,749,1426068,28.58
20260306,0053  ,3,74,600157,12.03
20260306,0053  ,4,10,132000,2.64
20260306,0053  ,5,15,286000,5.73
20260306,0053  ,6,4,107000,2.14
20260306,0053  ,7,4,142000,2.84
20260306,0053  ,8,2,100000,2.00
20260306,0053  ,9,3,223000,4.47
20260306,0053  ,10,1,196667,3.94
20260306,0053  ,11,2,548642,10.99
20260306,0053  ,12,0,0,0.00
20260306,0053  ,13,0,0,0.00
20260306,0053  ,14,0,0,0.00
20260306,0053  ,15,1,1044000,20.93
20260306,0053  ,16,0,0,0.00
20260306,0053  ,17,2924,4988000,100.00
20260306,0055  ,1,3167,883321,1.10
20260306,0055  ,2,6162,12881709,16.07
20260306,0055  ,3,1019,8023102,10.00
20260306,0055  ,4,273,3473367,4.33
20260306,0055  ,5,185,3370370,4.20
20260306,0055  ,6,122,3155292,3.93
20260306,0055  ,7,48,1702334,2.12
20260306,0055  ,8,31,1443903,1.80
20260306,0055  ,9,48,3276110,4.08
20260306,0055  ,10,25,3179323,3.96
20260306,0055  ,11,12,3474516,4.33
20260306,0055  ,12,8,3598577,4.48
20260306,0055  ,13,2,1427000,1.78
20260306,0055  ,14,1,996842,1.24
20260306,0055  ,15,3,29268234,36.51
20260306,0055  ,16,0,0,0.00
20260306,0055  ,17,11106,80154000,100.00
20260306,0056  ,1,290069,90998996,0.66
20260306,0056  ,2,737337,1738768953,12.70
20260306,0056  ,3,215260,1664375513,12.15
20260306,0056  ,4,92133,1166756874,8.52
20260306,0056  ,5,54943,996133973,7.27
20260306,0056  ,6,53425,1348252483,9.84
20260306,0056  ,7,25150,889980555,6.50
20260306,0056  ,8,15372,709752810,5.18
20260306,0056  ,9,25375,1785116394,13.04
20260306,0056  ,10,8105,1098537204,8.02
20260306,0056  ,11,2057,556113817,4.06
20260306,0056  ,12,385,189083090,1.38
20260306,0056  ,13,116,80810314,0.59
20260306,0056  ,14,57,52261101,0.38
20260306,0056  ,15,139,1321129923,9.65
20260306,0056  ,16,2,38000,0.00
20260306,0056  ,17,1519923,13688034000,100.00
20260306,0057  ,1,669,46186,3.02
20260306,0057  ,2,122,231008,15.12
20260306,0057  ,3,9,67506,4.42
20260306,0057  ,4,7,84100,5.50
20260306,0057  ,5,2,34200,2.23
20260306,0057  ,6,2,58000,3.79
20260306,0057  ,7,1,32000,2.09
20260306,0057  ,8,0,0,0.00
20260306,0057  ,9,3,239996,15.71
20260306,0057  ,10,5,734004,48.06
20260306,0057  ,11,0,0,0.00
20260306,0057  ,12,0,0,0.00
20260306,0057  ,13,0,0,0.00
20260306,0057  ,14,0,0,0.00
20260306,0057  ,15,0,0,0.00
20260306,0057  ,16,0,0,0.00
20260306,0057  ,17,820,1527000,100.00
20260306,0061  ,1,722,182527,0.15
20260306,0061  ,2,3997,9472101,8.26
20260306,0061  ,3,999,8324836,7.26
20260306,0061  ,4,361,4747215,4.14
20260306,0061  ,5,279,5268354,4.59
20260306,0061  ,6,271,7034050,6.13
20260306,0061  ,7,123,4529548,3.95
20260306,0061  ,8,95,4488253,3.91
20260306,0061  ,9,168,12892727,11.24
20260306,0061  ,10,75,10095000,8.80
20260306,0061  ,11,39,11048187,9.63
20260306,0061  ,12,9,4647000,4.05
20260306,0061  ,13,8,5451000,4.75
20260306,0061  ,14,0,0,0.00
20260306,0061  ,15,6,26435202,23.06
20260306,0061  ,16,0,0,0.00
20260306,0061  ,17,7152,114616000,100.00
20260306,006201,1,595,110350,0.67
20260306,006201,2,1096,2305837,14.02
20260306,006201,3,177,1407150,8.55
20260306,006201,4,53,675589,4.10
20260306,006201,5,32,596000,3.62
20260306,006201,6,23,619578,3.76
20260306,006201,7,10,339728,2.06
20260306,006201,8,7,334155,2.03
20260306,006201,9,6,410000,2.49
20260306,006201,10,4,667593,4.05
20260306,006201,11,1,329320,2.00
20260306,006201,12,2,1008000,6.12
20260306,006201,13,0,0,0.00
20260306,006201,14,1,881700,5.36
20260306,006201,15,2,6761000,41.11
20260306,006201,16,0,0,0.00
20260306,006201,17,2009,16446000,100.00
