資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260410,000218,1,0,0,0.00
20260410,000218,2,0,0,0.00
20260410,000218,3,0,0,0.00
20260410,000218,4,0,0,0.00
20260410,000218,5,0,0,0.00
20260410,000218,6,0,0,0.00
20260410,000218,7,0,0,0.00
20260410,000218,8,0,0,0.00
20260410,000218,9,0,0,0.00
20260410,000218,10,0,0,0.00
20260410,000218,11,0,0,0.00
20260410,000218,12,0,0,0.00
20260410,000218,13,0,0,0.00
20260410,000218,14,0,0,0.00
20260410,000218,15,1,422278902,100.00
20260410,000218,16,0,0,0.00
20260410,000218,17,1,422278902,100.00
20260410,000560,1,0,0,0.00
20260410,000560,2,0,0,0.00
20260410,000560,3,0,0,0.00
20260410,000560,4,0,0,0.00
20260410,000560,5,0,0,0.00
20260410,000560,6,0,0,0.00
20260410,000560,7,0,0,0.00
20260410,000560,8,0,0,0.00
20260410,000560,9,0,0,0.00
20260410,000560,10,0,0,0.00
20260410,000560,11,0,0,0.00
20260410,000560,12,0,0,0.00
20260410,000560,13,0,0,0.00
20260410,000560,14,0,0,0.00
20260410,000560,15,1,29700000,100.00
20260410,000560,16,0,0,0.00
20260410,000560,17,1,29700000,100.00
20260410,000708,1,0,0,0.00
20260410,000708,2,0,0,0.00
20260410,000708,3,0,0,0.00
20260410,000708,4,0,0,0.00
20260410,000708,5,0,0,0.00
20260410,000708,6,0,0,0.00
20260410,000708,7,0,0,0.00
20260410,000708,8,0,0,0.00
20260410,000708,9,0,0,0.00
20260410,000708,10,0,0,0.00
20260410,000708,11,0,0,0.00
20260410,000708,12,0,0,0.00
20260410,000708,13,0,0,0.00
20260410,000708,14,0,0,0.00
20260410,000708,15,1,20200000,100.00
20260410,000708,16,0,0,0.00
20260410,000708,17,1,20200000,100.00
20260410,000779,1,0,0,0.00
20260410,000779,2,0,0,0.00
20260410,000779,3,0,0,0.00
20260410,000779,4,0,0,0.00
20260410,000779,5,0,0,0.00
20260410,000779,6,0,0,0.00
20260410,000779,7,0,0,0.00
20260410,000779,8,0,0,0.00
20260410,000779,9,0,0,0.00
20260410,000779,10,0,0,0.00
20260410,000779,11,0,0,0.00
20260410,000779,12,0,0,0.00
20260410,000779,13,0,0,0.00
20260410,000779,14,0,0,0.00
20260410,000779,15,1,1150000000,100.00
20260410,000779,16,0,0,0.00
20260410,000779,17,1,1150000000,100.00
20260410,000815,1,0,0,0.00
20260410,000815,2,0,0,0.00
20260410,000815,3,0,0,0.00
20260410,000815,4,0,0,0.00
20260410,000815,5,0,0,0.00
20260410,000815,6,0,0,0.00
20260410,000815,7,0,0,0.00
20260410,000815,8,0,0,0.00
20260410,000815,9,0,0,0.00
20260410,000815,10,0,0,0.00
20260410,000815,11,0,0,0.00
20260410,000815,12,0,0,0.00
20260410,000815,13,0,0,0.00
20260410,000815,14,0,0,0.00
20260410,000815,15,1,692412444,100.00
20260410,000815,16,0,0,0.00
20260410,000815,17,1,692412444,100.00
20260410,000856,1,0,0,0.00
20260410,000856,2,0,0,0.00
20260410,000856,3,0,0,0.00
20260410,000856,4,0,0,0.00
20260410,000856,5,0,0,0.00
20260410,000856,6,0,0,0.00
20260410,000856,7,0,0,0.00
20260410,000856,8,0,0,0.00
20260410,000856,9,0,0,0.00
20260410,000856,10,0,0,0.00
20260410,000856,11,0,0,0.00
20260410,000856,12,0,0,0.00
20260410,000856,13,0,0,0.00
20260410,000856,14,0,0,0.00
20260410,000856,15,1,231800000,100.00
20260410,000856,16,0,0,0.00
20260410,000856,17,1,231800000,100.00
20260410,00400A,1,677,153399,0.02
20260410,00400A,2,15520,42089636,5.59
20260410,00400A,3,6488,61841999,8.22
20260410,00400A,4,1063,14995425,1.99
20260410,00400A,5,2523,50129388,6.66
20260410,00400A,6,1775,51277352,6.82
20260410,00400A,7,416,15982000,2.12
20260410,00400A,8,1513,75300300,10.01
20260410,00400A,9,1320,117454754,15.62
20260410,00400A,10,409,69648000,9.26
20260410,00400A,11,147,44046000,5.85
20260410,00400A,12,56,28762000,3.82
20260410,00400A,13,7,5010000,0.66
20260410,00400A,14,13,13000000,1.72
20260410,00400A,15,19,161949747,21.54
20260410,00400A,16,0,0,0.00
20260410,00400A,17,31946,751640000,100.00
20260410,00401A,1,0,0,0.00
20260410,00401A,2,4010,11042000,4.25
20260410,00401A,3,2045,19810000,7.63
20260410,00401A,4,288,4103000,1.58
20260410,00401A,5,861,17129000,6.60
20260410,00401A,6,683,19801000,7.63
20260410,00401A,7,185,7074000,2.72
20260410,00401A,8,681,33840000,13.04
20260410,00401A,9,621,54779000,21.11
20260410,00401A,10,179,29482000,11.36
20260410,00401A,11,48,14768000,5.69
20260410,00401A,12,21,10467000,4.03
20260410,00401A,13,1,800000,0.30
20260410,00401A,14,7,7000000,2.69
20260410,00401A,15,9,29300000,11.29
20260410,00401A,16,0,0,0.00
20260410,00401A,17,9639,259395000,100.00
20260410,0050  ,1,1089879,321033824,1.73
20260410,0050  ,2,1074295,2462901591,13.30
20260410,0050  ,3,268554,1982863054,10.70
20260410,0050  ,4,106636,1322443794,7.14
